Date,CO2_DRY_ppm,CH4_DRY_ppm,Latitude,Longitude,Time,TempC,SpCond,pH,ODOsat,ODOmgL,TurbFNU
2014-07-24,1760.78,1520.25,46.03419,-89.58019,17:46:45,23.304,90.2,7.38,89.9,7.66,1.54
2014-07-24,1763.58,1524.14,46.03419,-89.58019,17:46:46,23.306,90.2,7.38,89.9,7.67,1.44
2014-07-24,1765.31,1523.66,46.03419,-89.58019,17:46:47,23.308,90.2,7.38,89.9,7.67,1.48
2014-07-24,1767.73,1521.53,46.03419,-89.58019,17:46:48,23.31,90.2,7.38,89.9,7.67,1.49
2014-07-24,1765.12,1521.85,46.03419,-89.58019,17:46:49,23.311,90.2,7.38,89.9,7.67,1.5
2014-07-24,1762.73,1516.35,46.03419,-89.58019,17:46:50,23.311,90.2,7.38,89.9,7.67,1.48
2014-07-24,1761.82,1523.14,46.03419,-89.58019,17:46:51,23.31,90.2,7.38,89.9,7.67,1.48
2014-07-24,1762.68,1522.28,46.03419,-89.58019,17:46:52,23.308,90.2,7.38,89.9,7.67,1.48
2014-07-24,1768.73,1530.62,46.03419,-89.58019,17:46:53,23.308,90.2,7.38,89.9,7.67,1.47
2014-07-24,1769.72,1534.27,46.03419,-89.58019,17:46:54,23.303,90.2,7.38,89.9,7.67,1.43
2014-07-24,1766.56,1534.41,46.03419,-89.58019,17:46:55,23.301,90.2,7.38,89.9,7.67,1.42
2014-07-24,1761.18,1532.64,46.03419,-89.58019,17:46:56,23.298,90.2,7.38,89.9,7.67,1.4
2014-07-24,1769.47,1547.13,46.03419,-89.58019,17:46:57,23.296,90.2,7.38,89.9,7.67,1.4
2014-07-24,1765.45,1552.56,46.03419,-89.58019,17:46:58,23.293,90.2,7.38,89.9,7.67,1.36
2014-07-24,1768.83,1562.54,46.03419,-89.58019,17:46:59,23.291,90.3,7.38,89.9,7.67,1.33
2014-07-24,1765.6,1572.62,46.03419,-89.58019,17:47:00,23.29,90.3,7.38,89.9,7.67,1.34
2014-07-24,1768.4,1573.28,46.03419,-89.58019,17:47:01,23.288,90.3,7.38,89.9,7.67,1.36
2014-07-24,1772.29,1582.35,46.03419,-89.58019,17:47:02,23.287,90.3,7.38,89.8,7.66,1.32
2014-07-24,1761.45,1576.49,46.03419,-89.58019,17:47:03,23.287,90.3,7.38,89.8,7.66,1.28
2014-07-24,1763.98,1579.19,46.03419,-89.58019,17:47:04,23.288,90.3,7.38,89.8,7.66,1.24
2014-07-24,1765.74,1585.04,46.03419,-89.58019,17:47:05,23.289,90.3,7.38,89.8,7.66,1.23
2014-07-24,1764.7,1586.84,46.03419,-89.58019,17:47:06,23.291,90.3,7.38,89.8,7.66,1.23
