date,parameter,units,SiteID,org,org_id,time,value,sample_method,analytical_method,particle_size,date_time,media,sample_depth
2005-05-07,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,5.909999999999999e-4,UNKNOWN,NA,NA,2005-05-07,Water,NA
2005-05-17,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,04:30:00,2.19e-4,UNKNOWN,NA,NA,2005-05-17,Water,NA
2005-05-17,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,NA,UNKNOWN,NA,NA,2005-05-17,Water,NA
2005-03-19,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,14:59:00,NA,UNKNOWN,NA,NA,2005-03-19,Water,NA
2005-04-27,Copper,NA,CG-4,California Gulch (US EPA Region 8),0801478,18:30:00,NA,UNKNOWN,NA,NA,2005-04-27,Water,NA
2005-03-18,Copper,NA,AR-1,California Gulch (US EPA Region 8),0801478,12:59:00,NA,UNKNOWN,NA,NA,2005-03-18,Water,NA
2005-04-21,Zinc,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,09:00:00,9,UNKNOWN,NA,NA,2005-04-21,Water,NA
2005-03-09,Zinc,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,14:00:00,0.0183,UNKNOWN,NA,NA,2005-03-09,Water,NA
2005-04-22,Zinc,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,21:00:00,0.0862,UNKNOWN,NA,NA,2005-04-22,Water,NA
2005-05-12,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,06:30:00,NA,UNKNOWN,NA,NA,2005-05-12,Water,NA
2005-03-09,Copper,NA,AR-1,California Gulch (US EPA Region 8),0801478,14:00:00,NA,UNKNOWN,NA,NA,2005-03-09,Water,NA
2005-04-19,Copper,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,09:00:00,0.0441,UNKNOWN,NA,NA,2005-04-19,Water,NA
2005-04-15,Copper,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,16:00:00,0.027100000000000003,UNKNOWN,NA,NA,2005-04-15,Water,NA
