lake,sampledate,water_depth,co2_uM_L,ch4_uM_L
SSB,2020-01-09,0,461.67,40.07
SSB,2020-01-09,3,595.67,44.43
SSB,2020-01-09,5,657,82.23
SSB,2020-01-09,7,1860,1280
SSB,2020-01-31,0,542.33,15.03
SSB,2020-01-31,3,625.33,39.53
SSB,2020-01-31,5,700,81.37
SSB,2020-01-31,7,1220,424
SSB,2020-02-14,0,528,15.27
SSB,2020-02-14,3,659,66.37
SSB,2020-02-14,5,718.67,144.27
SSB,2020-02-14,7,1293.33,558
SSB,2020-03-06,0,594.33,33.53
SSB,2020-03-06,3,658.67,67.17
SSB,2020-03-06,5,731,111.13
SSB,2020-03-06,7,1390,684
SSB,2020-05-04,0,118.13,14.53
SSB,2020-05-04,3,578.33,61.3
SSB,2020-05-04,5,744,171.33
SSB,2020-05-04,7,1183.33,409.33
SSB,2020-06-18,0,65.8,0.87
SSB,2020-06-18,3,938,134
SSB,2020-06-18,5,1009,228
SSB,2020-06-25,0,100.7,0.87
SSB,2020-06-25,3,782.33,124
SSB,2020-06-25,5,814,175
SSB,2020-06-25,7,1280,621.33
SSB,2020-07-02,0,68.97,1.18
SSB,2020-07-02,3,885.33,175
SSB,2020-07-02,5,921.33,200
SSB,2020-07-02,7,1270,570.67
SSB,2020-07-11,0,72.7,0.7
SSB,2020-07-11,3,831.67,163.33
SSB,2020-07-11,5,931,220
SSB,2020-07-11,7,1453.33,762
SSB,2020-07-16,0,76.07,0.18
SSB,2020-07-16,3,629.67,119.8
SSB,2020-07-16,5,787,178.67
SSB,2020-07-16,7,1406.67,720.33
SSB,2020-07-23,0,187.5,2.74
SSB,2020-07-23,3,832.33,167.67
SSB,2020-07-23,5,925.67,235.33
SSB,2020-07-23,7,1370,731
SSB,2020-07-28,0,119.67,-0.35
SSB,2020-07-28,3,871,190.33
SSB,2020-07-28,5,951,233.67
SSB,2020-07-28,7,1403.33,706.67
SSB,2020-10-07,0,288.67,9.46
SSB,2020-10-07,3,904.67,269.33
SSB,2020-10-07,5,898.67,339
SSB,2020-10-07,7,1390,763
SSB,2020-10-30,0,489.67,60.9
SSB,2020-10-30,3,522,60.47
SSB,2020-10-30,5,515.33,62.87
SSB,2020-10-30,7,512,60.97
SSB,2021-01-13,0,503.33,6.53
SSB,2021-01-13,3,507,31
SSB,2021-01-13,5,540.33,61.93
SSB,2021-01-13,7,622.33,140.67
SSB,2021-02-02,0,479,0.1
SSB,2021-02-02,3,518,35.6
SSB,2021-02-02,5,533,60.6
SSB,2021-02-02,7,635.7,173.3
