2014 Jun 03 11:05:55
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,  [CH4_DRY]_ppm,[CH4_DRY]_ppm_se,  [CO2_DRY]_ppm,[CO2_DRY]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    06/03/14 11:06:36.231,    2.84933e+00,    0.00000e+00,    1.56290e+04,    0.00000e+00,    4.17684e+02,    0.00000e+00,    2.89457e+00,    0.00000e+00,    4.24315e+02,    0.00000e+00,    1.40376e+02,    0.00000e+00,    2.85222e+01,    0.00000e+00,    1.18801e+02,    0.00000e+00,    8.66516e+00,    0.00000e+00,    7.52642e+00,    0.00000e+00,              3
    06/03/14 11:06:36.644,    2.80025e+00,    0.00000e+00,    1.56955e+04,    0.00000e+00,    4.15896e+02,    0.00000e+00,    2.84490e+00,    0.00000e+00,    4.22528e+02,    0.00000e+00,    1.40393e+02,    0.00000e+00,    2.85146e+01,    0.00000e+00,    1.18875e+02,    0.00000e+00,    8.64223e+00,    0.00000e+00,    7.52881e+00,    0.00000e+00,              3
    06/03/14 11:06:37.056,    2.74558e+00,    0.00000e+00,    1.55848e+04,    0.00000e+00,    4.14335e+02,    0.00000e+00,    2.78905e+00,    0.00000e+00,    4.20895e+02,    0.00000e+00,    1.40423e+02,    0.00000e+00,    2.85234e+01,    0.00000e+00,    1.18823e+02,    0.00000e+00,    8.66064e+00,    0.00000e+00,    7.52625e+00,    0.00000e+00,              3
    06/03/14 11:06:37.469,    2.69669e+00,    0.00000e+00,    1.55997e+04,    0.00000e+00,    4.13704e+02,    0.00000e+00,    2.73942e+00,    0.00000e+00,    4.20260e+02,    0.00000e+00,    1.40419e+02,    0.00000e+00,    2.85236e+01,    0.00000e+00,    1.18771e+02,    0.00000e+00,    8.64926e+00,    0.00000e+00,    7.52070e+00,    0.00000e+00,              3
    06/03/14 11:06:37.882,    2.65002e+00,    0.00000e+00,    1.55895e+04,    0.00000e+00,    4.11605e+02,    0.00000e+00,    2.69199e+00,    0.00000e+00,    4.18123e+02,    0.00000e+00,    1.40490e+02,    0.00000e+00,    2.85149e+01,    0.00000e+00,    1.18818e+02,    0.00000e+00,    8.65798e+00,    0.00000e+00,    7.53010e+00,    0.00000e+00,              3
    06/03/14 11:06:38.294,    2.61237e+00,    0.00000e+00,    1.54339e+04,    0.00000e+00,    4.11821e+02,    0.00000e+00,    2.65332e+00,    0.00000e+00,    4.18277e+02,    0.00000e+00,    1.40413e+02,    0.00000e+00,    2.85235e+01,    0.00000e+00,    1.18759e+02,    0.00000e+00,    8.65292e+00,    0.00000e+00,    7.52947e+00,    0.00000e+00,              3
    06/03/14 11:06:38.707,    2.58647e+00,    0.00000e+00,    1.55648e+04,    0.00000e+00,    4.10701e+02,    0.00000e+00,    2.62736e+00,    0.00000e+00,    4.17195e+02,    0.00000e+00,    1.40387e+02,    0.00000e+00,    2.85173e+01,    0.00000e+00,    1.18800e+02,    0.00000e+00,    8.64234e+00,    0.00000e+00,    7.52382e+00,    0.00000e+00,              3
    06/03/14 11:06:39.120,    2.54749e+00,    0.00000e+00,    1.54165e+04,    0.00000e+00,    4.09266e+02,    0.00000e+00,    2.58738e+00,    0.00000e+00,    4.15674e+02,    0.00000e+00,    1.40365e+02,    0.00000e+00,    2.85246e+01,    0.00000e+00,    1.18719e+02,    0.00000e+00,    8.65279e+00,    0.00000e+00,    7.53053e+00,    0.00000e+00,              3
    06/03/14 11:06:39.533,    2.51443e+00,    0.00000e+00,    1.54188e+04,    0.00000e+00,    4.08273e+02,    0.00000e+00,    2.55381e+00,    0.00000e+00,    4.14667e+02,    0.00000e+00,    1.40399e+02,    0.00000e+00,    2.85236e+01,    0.00000e+00,    1.18747e+02,    0.00000e+00,    8.65185e+00,    0.00000e+00,    7.53389e+00,    0.00000e+00,              3
    06/03/14 11:06:39.947,    2.48524e+00,    0.00000e+00,    1.52838e+04,    0.00000e+00,    4.07850e+02,    0.00000e+00,    2.52381e+00,    0.00000e+00,    4.14180e+02,    0.00000e+00,    1.40441e+02,    0.00000e+00,    2.85178e+01,    0.00000e+00,    1.18838e+02,    0.00000e+00,    8.66532e+00,    0.00000e+00,    7.52568e+00,    0.00000e+00,              3
